employee_id,department,salary,hire_date
1,Sales,40000,2023-01-15
2,Sales,45000,2023-01-10
3,Sales,50000,2023-01-22
4,Sales,40000,2023-02-05
5,Sales,42000,2023-02-19
6,HR,55000,2023-02-01
7,HR,54000,2023-02-20
8,HR,60000,2023-03-15
9,HR,52000,2023-03-20
10,Engineering,70000,2023-01-10
11,Engineering,68000,2023-01-05
12,Engineering,75000,2023-01-30
13,Engineering,71000,2023-02-10
14,Engineering,72000,2023-02-01
15,Engineering,73000,2023-02-17
16,Engineering,80000,2023-03-10
17,Engineering,71000,2023-03-21
18,Sales,44000,2023-02-12
19,Sales,43000,2023-02-25
20,Engineering,72000,2023-03-30
